Assuming rdf:type as type relation
Loading files... 
  Starting LungCancer.tsv
  Finished LungCancer.tsv, still running: 0
Loaded 32235 facts in 0.74 s using 61 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are enabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 12 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  hasStage  IV   => ?a  hasGender  Female	0.055555556	0.726315789	0.726315789	69	95	95	?a
?a  hasAgeCategory  Old   => ?a  hasGender  Female	0.161030596	0.581395349	0.581395349	200	344	344	?a
?a  hasAgeCategory  Young   => ?a  hasGender  Female	0.538647343	0.745819398	0.745819398	669	897	897	?a
?a  hasGender  Male   => ?a  hasStage  IIB	0.037037037	0.123655914	0.123655914	46	372	372	?a
?a  hasAgeCategory  Old   => ?a  hasStage  IIB	0.035426731	0.127906977	0.127906977	44	344	344	?a
?a  hasGender  Male   => ?a  hasStage  IA1	0.033011272	0.110215054	0.110215054	41	372	372	?a
?a  hasGender  Female   => ?a  hasStage  IA1	0.080515298	0.114942529	0.114942529	100	870	870	?a
?a  hasAgeCategory  Old   => ?a  hasStage  IA1	0.037037037	0.13372093	0.13372093	46	344	344	?a
?a  hasGender  Male   => ?a  hasStage  IA	0.054750403	0.182795699	0.182795699	68	372	372	?a
?a  hasAgeCategory  Old   => ?a  hasStage  IA	0.048309179	0.174418605	0.174418605	60	344	344	?a
?a  hasGender  Female   => ?a  hasStage  IA	0.140096618	0.2	0.2	174	870	870	?a
?a  hasAgeCategory  Young   => ?a  hasStage  IA1	0.076489533	0.105908584	0.105908584	95	897	897	?a
?a  hasAgeCategory  Young   => ?a  hasStage  IA	0.146537842	0.202898551	0.202898551	182	897	897	?a
?a  hasGender  Male   => ?a  hasStage  IB	0.072463768	0.241935484	0.241935484	90	372	372	?a
?a  hasGender  Female   => ?a  hasStage  IB	0.158615137	0.226436782	0.226436782	197	870	870	?a
?a  hasAgeCategory  Old   => ?a  hasStage  IB	0.070853462	0.255813953	0.255813953	88	344	344	?a
?a  hasAgeCategory  Young   => ?a  hasStage  IB	0.160225443	0.221850613	0.221850613	199	897	897	?a
?a  hasGender  Male   => ?a  hasAgeCategory  Old	0.116035455	0.387096774	0.387096774	144	372	372	?a
?a  hasGender  Female   => ?a  hasAgeCategory  Old	0.161160355	0.229885057	0.230149597	200	870	869	?a
?a  hasStage  IIIA   => ?a  hasAgeCategory  Old	0.020145044	0.238095238	0.238095238	25	105	105	?a
?a  hasStage  IVB   => ?a  hasAgeCategory  Old	0.01369863	0.25	0.25	17	68	68	?a
?a  hasStage  IV   => ?a  hasAgeCategory  Old	0.018533441	0.242105263	0.242105263	23	95	95	?a
?a  hasStage  IB   => ?a  hasAgeCategory  Old	0.070910556	0.306620209	0.306620209	88	287	287	?a
?a  hasStage  IIB   => ?a  hasAgeCategory  Old	0.035455278	0.366666667	0.366666667	44	120	120	?a
?a  hasStage  IA   => ?a  hasAgeCategory  Old	0.048348106	0.247933884	0.247933884	60	242	242	?a
?a  hasStage  IIA   => ?a  hasAgeCategory  Old	0.015310234	0.226190476	0.228915663	19	84	83	?a
?a  hasStage  IA1   => ?a  hasAgeCategory  Old	0.037066882	0.326241135	0.326241135	46	141	141	?a
?a  hasStage  IIIA   => ?a  hasAgeCategory  Young	0.064464142	0.761904762	0.761904762	80	105	105	?a
?a  hasStage  IV   => ?a  hasAgeCategory  Young	0.058017728	0.757894737	0.757894737	72	95	95	?a
?a  hasStage  IIA   => ?a  hasAgeCategory  Young	0.051571313	0.761904762	0.771084337	64	84	83	?a
?a  hasGender  Female   => ?a  hasAgeCategory  Young	0.539081386	0.768965517	0.769850403	669	870	869	?a
?a  hasStage  IA2   => ?a  hasAgeCategory  Young	0.012892828	0.842105263	0.842105263	16	19	19	?a
?a  hasStage  IA1   => ?a  hasAgeCategory  Young	0.076551168	0.673758865	0.673758865	95	141	141	?a
?a  hasGender  Male   => ?a  hasAgeCategory  Young	0.183722804	0.612903226	0.612903226	228	372	372	?a
?a  hasStage  IVA   => ?a  hasAgeCategory  Young	0.031426269	0.764705882	0.764705882	39	51	51	?a
?a  hasStage  IIB   => ?a  hasAgeCategory  Young	0.061240935	0.633333333	0.633333333	76	120	120	?a
?a  hasStage  IA   => ?a  hasAgeCategory  Young	0.146655923	0.752066116	0.752066116	182	242	242	?a
?a  hasStage  IB   => ?a  hasAgeCategory  Young	0.160354553	0.693379791	0.693379791	199	287	287	?a
?a  hasStage  IVB   => ?a  hasAgeCategory  Young	0.04109589	0.75	0.75	51	68	68	?a
?a  hasFamilyGenderDegree  male_first_degree   => ?a  hasFamily  Father	0.245236123	0.592	0.592	296	500	500	?a
?a  hasFamilyGenderDegree  female_first_degree   => ?a  hasFamily  Mother	0.185584093	0.569974555	0.569974555	224	393	393	?a
?a  hasFamilyGenderDegree  female_first_degree   => ?a  hasFamily  Sister	0.127589064	0.391857506	0.391857506	154	393	393	?a
?a  hasFamilyGenderDegree  male_first_degree   => ?a  hasFamily  Brother	0.163214582	0.394	0.394	197	500	500	?a
?b  interacts  ?a   => ?a  interacts  ?b	1	1	1	4268	4268	4268	?a
?c  hasStage  IIA  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_second_degree	0.011608624	0.12962963	0.12962963	14	108	108	?a
?c  hasStage  IA1  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_second_degree	0.011608624	0.100719424	0.100719424	14	139	139	?a
?c  hasStage  IIB  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_second_degree	0.017412935	0.132911392	0.133757962	21	158	157	?a
?c  hasGender  Male  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_second_degree	0.050580431	0.132034632	0.132034632	61	462	462	?a
?c  hasStage  IA  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_second_degree	0.01907131	0.102222222	0.102222222	23	225	225	?a
?c  hasGender  Male  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_second_degree	0.053067993	0.138528139	0.138528139	64	462	462	?a
?c  hasStage  IIB  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Immunotherapy	0.011204482	0.125	0.125	36	288	288	?a
?c  hasAgeCategory  Old  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_second_degree	0.046434494	0.154696133	0.154696133	56	362	362	?a
?c  hasStage  IIB  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_second_degree	0.015754561	0.120253165	0.121019108	19	158	157	?a
?c  hasStage  IIB  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ROS1	0.041180086	0.201201201	0.201201201	67	333	333	?a
?c  hasStage  IA  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ROS1	0.035648433	0.174698795	0.174698795	58	332	332	?a
?c  hasStage  IA1  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ROS1	0.015365704	0.153374233	0.153374233	25	163	163	?a
?c  hasStage  IA1  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  PDL1	0.019053473	0.190184049	0.190184049	31	163	163	?a
?c  hasStage  IB  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ROS1	0.02335587	0.103542234	0.103542234	38	367	367	?a
?c  hasStage  IIA  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  PDL1	0.036877689	0.269058296	0.269058296	60	223	223	?a
?c  hasStage  IIB  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  PDL1	0.052858021	0.258258258	0.258258258	86	333	333	?a
?c  hasGender  Female  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ROS1	0.110633067	0.163934426	0.163934426	180	1098	1098	?a
?c  hasAgeCategory  Old  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ROS1	0.054087277	0.166351607	0.166351607	88	529	529	?a
?c  hasGender  Male  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  PDL1	0.061462815	0.189035917	0.189035917	100	529	529	?a
?c  hasGender  Female  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  PDL1	0.112476951	0.166666667	0.166666667	183	1098	1098	?a
?c  hasStage  IB  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  PDL1	0.029502151	0.130790191	0.130790191	48	367	367	?a
?c  hasStage  IV  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  EGFR	0.011063307	0.3	0.3	18	60	60	?a
?c  hasStage  IA1  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  EGFR	0.027658267	0.27607362	0.27607362	45	163	163	?a
?c  hasAgeCategory  Old  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  PDL1	0.05654579	0.173913043	0.173913043	92	529	529	?a
?c  hasAgeCategory  Young  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ROS1	0.107559926	0.159380692	0.159380692	175	1098	1098	?a
?c  hasGender  Male  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  EGFR	0.10633067	0.327032136	0.327032136	173	529	529	?a
?c  hasStage  IIA  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  EGFR	0.030731407	0.224215247	0.224215247	50	223	223	?a
?c  hasStage  IIB  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  EGFR	0.047940996	0.234234234	0.234234234	78	333	333	?a
?c  hasStage  IA  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  EGFR	0.060848187	0.298192771	0.298192771	99	332	332	?a
?a  hasAgeCategory  Old  ?a  hasStage  IA1   => ?a  hasGender  Male	0.017713366	0.47826087	0.47826087	22	46	46	?a
?c  hasAgeCategory  Old  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_second_degree	0.046434494	0.154696133	0.154696133	56	362	362	?a
?c  hasStage  IIA  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ROS1	0.02642901	0.192825112	0.192825112	43	223	223	?a
?c  hasStage  IA  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  BRAF	0.020897357	0.102409639	0.102409639	34	332	332	?a
?c  hasStage  IB  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  EGFR	0.095881991	0.42506812	0.42506812	156	367	367	?a
?c  hasAgeCategory  Young  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  PDL1	0.117393977	0.173952641	0.173952641	191	1098	1098	?a
?c  hasGender  Female  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  EGFR	0.191763983	0.284153005	0.284153005	312	1098	1098	?a
?c  hasAgeCategory  Old  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  EGFR	0.098340504	0.302457467	0.302457467	160	529	529	?a
?c  hasGender  Male  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ROS1	0.051014136	0.156899811	0.156899811	83	529	529	?a
?a  hasAgeCategory  Old  ?a  hasStage  IIIA   => ?a  hasGender  Male	0.010466989	0.52	0.52	13	25	25	?a
?c  hasStage  IIB  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Radiotherapy_To_Bone	0.014939309	0.166666667	0.166666667	48	288	288	?a
?a  hasAgeCategory  Old  ?a  hasStage  IB   => ?a  hasGender  Male	0.02979066	0.420454545	0.420454545	37	88	88	?a
?a  hasAgeCategory  Young  ?a  hasStage  IIA   => ?a  hasGender  Male	0.016908213	0.328125	0.328125	21	64	64	?a
?c  hasStage  IIIA  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_first_degree	0.024046434	0.397260274	0.397260274	29	73	73	?a
?c  hasStage  IIA  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_first_degree	0.032338308	0.361111111	0.361111111	39	108	108	?a
?c  hasGender  Male  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_first_degree	0.133499171	0.348484848	0.348484848	161	462	462	?a
?c  hasStage  IIB  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_first_degree	0.055555556	0.424050633	0.426751592	67	158	157	?a
?c  hasAgeCategory  Young  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  EGFR	0.199754149	0.295992714	0.295992714	325	1098	1098	?a
?c  hasStage  IVA  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_first_degree	0.014925373	0.45	0.45	18	40	40	?a
?c  hasStage  IA  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_first_degree	0.081260365	0.435555556	0.435555556	98	225	225	?a
?c  hasGender  Female  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_first_degree	0.281094527	0.455033557	0.455645161	339	745	744	?a
?c  hasStage  IB  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_first_degree	0.099502488	0.413793103	0.413793103	120	290	290	?a
?c  hasStage  IV  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_first_degree	0.019900498	0.342857143	0.342857143	24	70	70	?a
?c  hasAgeCategory  Old  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_first_degree	0.10199005	0.339779006	0.339779006	123	362	362	?a
?c  hasStage  IA1  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_first_degree	0.04145937	0.35971223	0.35971223	50	139	139	?a
?c  hasStage  IIIA  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_first_degree	0.018242123	0.301369863	0.301369863	22	73	73	?a
?c  hasStage  IV  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_first_degree	0.019900498	0.342857143	0.342857143	24	70	70	?a
?c  hasStage  IIA  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_first_degree	0.032338308	0.361111111	0.361111111	39	108	108	?a
?c  hasStage  IVB  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_first_degree	0.017412935	0.368421053	0.368421053	21	57	57	?a
?c  hasGender  Male  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_first_degree	0.119402985	0.311688312	0.311688312	144	462	462	?a
?c  hasStage  IA  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_first_degree	0.055555556	0.297777778	0.297777778	67	225	225	?a
?c  hasGender  Female  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_first_degree	0.206467662	0.334228188	0.334677419	249	745	744	?a
?c  hasStage  IB  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_first_degree	0.08291874	0.344827586	0.344827586	100	290	290	?a
?c  hasAgeCategory  Old  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_first_degree	0.087064677	0.290055249	0.290055249	105	362	362	?a
?c  hasAgeCategory  Young  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_first_degree	0.312603648	0.446153846	0.446682464	377	845	844	?a
?c  hasStage  IA1  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ALK	0.021511985	0.214723926	0.214723926	35	163	163	?a
?c  hasStage  IIB  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ALK	0.042409342	0.207207207	0.207207207	69	333	333	?a
?c  hasAgeCategory  Young  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_first_degree	0.23880597	0.340828402	0.341232227	288	845	844	?a
?c  hasStage  IIA  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ALK	0.030116779	0.219730942	0.219730942	49	223	223	?a
?c  hasStage  IA  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ALK	0.051014136	0.25	0.25	83	332	332	?a
?d  hasRelapse_Progression  Relapse  ?a  patientRelapseProgression  ?d   => ?a  hasGender  Male	0.018518519	0.306666667	0.306666667	23	75	75	?a
?c  hasAgeCategory  Old  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ALK	0.081130916	0.24952741	0.24952741	132	529	529	?a
?c  hasGender  Male  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ALK	0.079287031	0.243856333	0.243856333	129	529	529	?a
?d  hasBiomarker  BRAF  ?a  patientBiomarker  ?d   => ?a  hasGender  Male	0.022544283	0.225806452	0.225806452	28	124	124	?a
?d  hasBiomarker  PDL1  ?a  patientBiomarker  ?d   => ?a  hasGender  Male	0.080515298	0.35335689	0.35335689	100	283	283	?a
?c  hasGender  Female  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ALK	0.167793485	0.24863388	0.24863388	273	1098	1098	?a
?d  hasRelapse_Progression  No_Progression  ?a  patientRelapseProgression  ?d   => ?a  hasGender  Male	0.057971014	0.292682927	0.292682927	72	246	246	?a
?d  hasBiomarker  EGFR  ?a  patientBiomarker  ?d   => ?a  hasGender  Male	0.139291465	0.356701031	0.356701031	173	485	485	?a
?d  hasBiomarker  ROS1  ?a  patientBiomarker  ?d   => ?a  hasGender  Male	0.066827697	0.315589354	0.315589354	83	263	263	?a
?d  hasRelapse_Progression  Progression  ?a  patientRelapseProgression  ?d   => ?a  hasGender  Male	0.171497585	0.313696613	0.313696613	213	679	679	?a
?d  hasBiomarker  ALK  ?a  patientBiomarker  ?d   => ?a  hasGender  Male	0.103864734	0.320895522	0.320895522	129	402	402	?a
?c  hasStage  IB  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ALK	0.070067609	0.310626703	0.310626703	114	367	367	?a
?c  hasStage  IIB  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  female_first_degree	0.03814262	0.291139241	0.292993631	46	158	157	?a
?c  hasStage  IIIA  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Open_Surgical_Procedure	0.010270775	0.189655172	0.189655172	33	174	174	?a
?c  hasStage  IVB  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Open_Surgical_Procedure	0.010270775	0.177419355	0.177419355	33	186	186	?a
?c  hasAgeCategory  Young  ?c  patientBiomarker  ?a   => ?a  hasBiomarker  ALK	0.1659496	0.245901639	0.245901639	270	1098	1098	?a
?d  hasSmokingHabit  FormerSmoker  ?a  patientSmoking  ?d   => ?a  hasGender  Male	0.072463768	0.681818182	0.681818182	90	132	132	?a
?d  hasSmokingHabit  NonSmoker  ?a  patientSmoking  ?d   => ?a  hasGender  Male	0.11352657	0.287169043	0.287169043	141	491	491	?a
?c  hasStage  IVB  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Chemotherapy_Adjuvant	0.01276066	0.220430108	0.220430108	41	186	186	?a
?c  hasStage  IA1  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_first_degree	0.051409619	0.446043165	0.446043165	62	139	139	?a
?a  hasAgeCategory  Young  ?a  hasStage  IIIA   => ?a  hasGender  Female	0.048309179	0.75	0.75	60	80	80	?a
?a  hasAgeCategory  Young  ?a  hasStage  IA1   => ?a  hasGender  Female	0.061191626	0.8	0.8	76	95	95	?a
?a  hasAgeCategory  Old  ?a  hasStage  IIB   => ?a  hasGender  Male	0.020933977	0.590909091	0.590909091	26	44	44	?a
?c  hasStage  IVB  ?c  patientFamily  ?a   => ?a  hasFamilyGenderDegree  male_first_degree	0.020729685	0.438596491	0.438596491	25	57	57	?a
?d  hasSmokingHabit  CurrentSmoker  ?a  patientSmoking  ?d   => ?a  hasGender  Male	0.111916264	0.227124183	0.227124183	139	612	612	?a
?d  hasFamilyGenderDegree  male_third_degree  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.010466989	0.333333333	0.333333333	13	39	39	?a
?d  hasFamilyGenderDegree  male_second_degree  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.043478261	0.469565217	0.469565217	54	115	115	?a
?d  hasFamilyGenderDegree  female_first_degree  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.098228663	0.354651163	0.354651163	122	344	344	?a
?d  hasFamily  Grandfather  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.023349436	0.527272727	0.527272727	29	55	55	?a
?d  hasFamily  Sister  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.04589372	0.37012987	0.37012987	57	154	154	?a
?d  hasFamily  Brother  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.042673108	0.269035533	0.269035533	53	197	197	?a
?a  hasAgeCategory  Young  ?a  hasStage  IVB   => ?a  hasGender  Female	0.033011272	0.803921569	0.803921569	41	51	51	?a
?d  hasFamily  Grandmother  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.026570048	0.540983607	0.540983607	33	61	61	?a
?c  hasStage  IIB  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Whole_Brain_Radiation_Therapy	0.011826953	0.131944444	0.131944444	38	288	288	?a
?d  hasFamilyGenderDegree  female_third_degree  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.015297907	0.703703704	0.703703704	19	27	27	?a
?c  hasGender  Male  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Whole_Brain_Radiation_Therapy	0.037659508	0.110603291	0.110603291	121	1094	1094	?a
?d  hasFamilyGenderDegree  female_second_degree  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.047504026	0.526785714	0.526785714	59	112	112	?a
?d  hasFamily  Aunt  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.022544283	0.571428571	0.571428571	28	49	49	?a
?c  hasStage  IB  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Whole_Brain_Radiation_Therapy	0.031123561	0.151975684	0.151975684	100	658	658	?a
?a  hasAgeCategory  Young  ?a  hasStage  IA   => ?a  hasGender  Female	0.109500805	0.747252747	0.747252747	136	182	182	?a
?a  hasAgeCategory  Young  ?a  hasStage  IVA   => ?a  hasGender  Female	0.027375201	0.871794872	0.871794872	34	39	39	?a
?c  hasAgeCategory  Old  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Whole_Brain_Radiation_Therapy	0.037970744	0.113067655	0.113067655	122	1079	1079	?a
?c  hasStage  IA1  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Radiotherapy_To_Lung	0.032057267	0.240654206	0.240654206	103	428	428	?a
?c  hasGender  Male  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Radiotherapy_To_Lung	0.042639278	0.125228519	0.125228519	137	1094	1094	?a
?d  hasFamilyGenderDegree  male_first_degree  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.11352657	0.330210773	0.330210773	141	427	427	?a
?d  hasFamily  Father  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.086151369	0.361486486	0.361486486	107	296	296	?a
?c  hasGender  Female  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Radiotherapy_To_Lung	0.086523498	0.13144208	0.13144208	278	2115	2115	?a
?c  hasAgeCategory  Old  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Radiotherapy_To_Lung	0.037970744	0.113067655	0.113067655	122	1079	1079	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Sequential_Chemoradiation   => ?a  hasGender  Male	0.015297907	0.322033898	0.322033898	19	59	59	?a
?d  hasFamily  Mother  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.065217391	0.361607143	0.361607143	81	224	224	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Whole_Brain_Radiation_Therapy   => ?a  hasGender  Male	0.08373591	0.409448819	0.409448819	104	254	254	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Open_Surgical_Procedure   => ?a  hasGender  Male	0.04589372	0.25	0.25	57	228	228	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Concurrent_Chemoradiotherapy   => ?a  hasGender  Male	0.035426731	0.321167883	0.321167883	44	137	137	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Radiotherapy_To_Lung   => ?a  hasGender  Male	0.101449275	0.320610687	0.320610687	126	393	393	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Chemotherapy_Adjuvant   => ?a  hasGender  Male	0.042673108	0.321212121	0.321212121	53	165	165	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Neoadjuvant_Chemotherapy   => ?a  hasGender  Male	0.035426731	0.293333333	0.293333333	44	150	150	?a
?a  hasAgeCategory  Old  ?a  hasStage  IIA   => ?a  hasGender  Female	0.012077295	0.789473684	0.789473684	15	19	19	?a
